Title,(1980s),(1990s),(2000s),(2010s),(2020s),Pop,Rock,Counrty,Folk,Dance,Grunge,Love,Metal,Classic,Funk,Electric,Acoustic,Indie,Jazz,SoundTrack,Rap
Every Breath You Take,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
woRK frOm HoMe,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livin' on a Prayer,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Want To Want Me,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Idiot,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Time,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Lover,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Take Me Out,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hurt,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Eclipse,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Everything in Its Right Place,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Somewhere Only We Know,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paint It Black,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Diary of Jane,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maps,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PILLOWTALK,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockabye (feat. Sean Paul & Anne-Marie),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Cave,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Toxicity,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Billie Jean,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drive,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Redbone,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Blowin' in the Wind,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Something Just Like This,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Purple Haze,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Will Follow You Into The Dark,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Home,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Hallelujah,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Your Body Is a Wonderland,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bleed It Out,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ace of Spades,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
New Rules,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Summer,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Sunshine of Your Love,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roses,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Naked As We Came,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Go Your Own Way,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Decks Dark,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornfield Chase,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Supermassive Black Hole,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The A Team,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
One More Time,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Points of Authority,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Good Riddance (Time of Your Life),1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Times They Are a-Changin',0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avril 14th,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
See You Again (feat. Charlie Puth),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Why'd You Only Call Me When You're High?,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
New Slang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Learning to Fly,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Greatest,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Safe and Sound,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arabella,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Threnody,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kids,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Your Hand in Mine,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tears in Heaven,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Georgia,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey There Delilah,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Last Resort,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Elastic Heart,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fade to Black,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
One More Night,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any Colour You Like,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What You Know,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clint Eastwood,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angels,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Youth,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Have a Cigar,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21 Guns,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elephant,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gooey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fireflies,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
(Don't Fear) The Reaper,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DNA.,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uprising,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leave Out All the Rest,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hey Jude,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Way Down We Go,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Way,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It's Time,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Into You,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Me,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Walk of Life,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I See Fire,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
I Feel It Coming,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Midnight,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Roar,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learn to Fly,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Burn,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Best of You,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tighten Up,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wind of Change,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Talking Body,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Walk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My House,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymn For The Weekend - Seeb Remix,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mrs. Robinson,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Here,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On the Run,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
People Are Strange,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shiver,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Layla,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Born to Be Wild,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galway Girl,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For What It's Worth,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
King Kunta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The End,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sparks,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorescent Adolescent,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mykonos,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Money for Nothing,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Left Hand Free,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mountain At My Gates,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Young and Beautiful,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hero,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Identikit,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
By the Way,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dazed and Confused,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bad Moon Rising,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Summertime Sadness,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Burn It Down,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retrograde,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I Want You Back,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Eyed Girl,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Harder, Better, Faster, Stronger",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
I'm Not the Only One,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Yourself,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Only Love,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Firestone,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
When We Were Young,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenerife Sea,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Love Myself,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Feel,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
White Rabbit,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hold Back the River,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry Swing,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From the Inside,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drops of Jupiter,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Needed Me,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
True Love Waits,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Dog Days Are Over,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boulevard of Broken Dreams,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crazy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can't Hold Us (feat. Ray Dalton),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
We Will Rock You,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No Money,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Just the Way You Are,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marooned,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Waiting For Love,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trap Queen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mess Is Mine,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Song 2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Show Me How To Live,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desert Island Disk,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time to Pretend,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Let Down,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Happiest Days of Our Lives,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roadhouse Blues,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Present Tense,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starlight,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On Melancholy Hill,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Love Me Again,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wonderful Tonight,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sweet Emotion,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbreaker,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Have You Ever Seen The Rain?,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Exit Music (for a Film),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast Car - Radio Edit,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stolen Dance,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Brothers in Arms,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nuvole Bianche,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fitzpleasure,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Piano Man,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Giorgio by Moroder,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Capsize,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Never Be Like You (feat. Kai),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotus Flower,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It's My Life,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Give Life Back to Music,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Stole The Show,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lying from You,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bulls on Parade,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kong,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Are You Gonna Be My Girl,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Talk,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skinny Love,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Who Says,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
White Room,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Open Car,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Loser,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No One Knows,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On Top of the World,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
In the Waiting Line,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Charlie Brown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle of Glass,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Halo,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I Will Wait,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
A Place for My Head,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tom Sawyer,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Skyfall,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Should Have Known Better,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eventually,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Me, Myself & I",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fun (feat. Tove Lo),0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Birds,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbag,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rude,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walk This Way,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Same Old Love,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
In the Name of Love,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nothing it Can,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Howlin' for You,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Highway Star,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Glass Eyes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somebody to Love,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Welcome to the Machine,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Passionfruit,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cirrus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ful Stop,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Two Weeks,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
One,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carry on Wayward Son,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Waiting on the World to Change,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Drag Me Down,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stay,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Islands,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shake It Off,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Would?,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Runaway,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Chain,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hoppípolla,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rather Be (feat. Jess Glynne),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Kiara,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Runaway (U & I),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
There's Nothing Holdin' Me Back,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadwing,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lose Yourself,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lost!,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centuries,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Take It Easy,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Day One,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Firework,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Since I've Been Loving You,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cold Water (feat. Justin Bieber & MØ),0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Sweet Disposition,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Last Nite,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
To Build a Home,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Moment,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let It Be,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
